,Step
1467,198.0
1468,146.0
1469,127.0
1470,175.0
1471,133.0
1472,175.0
1473,102.0
1474,121.0
1475,175.0
1476,140.0
1477,105.0
1478,116.0
1479,174.0
1480,123.0
1481,153.0
1482,161.0
1483,188.0
1484,167.0
1485,138.0
1486,135.0
1487,170.0
1488,159.0
1489,92.0
1490,120.0
1491,96.0
1492,138.0
1493,127.0
1494,140.0
1495,173.0
1496,215.0
1497,116.0
1498,179.0
1499,166.0
1500,178.0
1501,225.0
1502,203.0
1503,189.0
1504,197.0
1505,201.0
1506,181.0
1507,214.0
1508,83.0
1509,203.0
1510,156.0
1511,159.0
1512,191.0
1513,152.0
1514,209.0
1515,201.0
1516,101.0
1517,164.0
1518,154.0
1519,185.0
1520,156.0
1521,127.0
1522,172.0
1523,130.0
1524,173.0
1525,161.0
1526,129.0
1527,104.0
1528,137.0
1529,188.0
1530,231.0
1531,166.0
1532,185.0
1533,185.0
1534,89.0
1535,228.0
1536,103.0
1537,192.0
1538,200.0
1539,205.0
1540,195.0
1541,165.0
1542,115.0
1543,133.0
1544,163.0
1545,158.0
1546,162.0
1547,135.0
1548,200.0
1549,211.0
1550,147.0
1551,134.0
1552,182.0
1553,122.0
1554,155.0
1555,176.0
1556,120.0
1557,179.0
1558,175.0
1559,175.0
1560,183.0
1561,163.0
1562,91.0
1563,143.0
1564,193.0
1565,107.0
1566,140.0
1567,197.0
1568,211.0
1569,142.0
1570,159.0
1571,79.0
1572,138.0
1573,144.0
1574,167.0
1575,104.0
1576,183.0
1577,184.0
1578,92.0
1579,148.0
1580,122.0
1581,138.0
1582,232.0
1583,194.0
1584,136.0
1585,145.0
1586,123.0
1587,140.0
1588,203.0
1589,106.0
1590,168.0
1591,129.0
1592,158.0
1593,148.0
1594,204.0
1595,151.0
1596,185.0
1597,207.0
1598,136.0
1599,170.0
1600,118.0
1601,178.0
1602,172.0
1603,192.0
1604,208.0
1605,128.0
1606,184.0
1607,85.0
1608,190.0
1609,141.0
1610,166.0
1611,212.0
1612,154.0
1613,184.0
1614,168.0
1615,147.0
1616,119.0
1617,125.0
1618,140.0
1619,164.0
1620,174.0
1621,195.0
1622,161.0
1623,154.0
